name	wiki	year	inf
Karl Robert Eduard von Hartmann	https://en.wikipedia.org/wiki/Karl_Robert_Eduard_von_Hartmann	1842	3
Antonio Labriola	https://en.wikipedia.org/wiki/Antonio_Labriola	1843	2
Richard Avenarius	https://en.wikipedia.org/wiki/Richard_Avenarius	1843	1
Friedrich Nietzsche	https://en.wikipedia.org/wiki/Friedrich_Nietzsche	1844	1
%C3%89mile Boutroux	https://en.wikipedia.org/wiki/%C3%89mile_Boutroux	1845	1
Émile Boutroux	https://en.wikipedia.org/wiki/Émile_Boutroux	1845	1
Rudolf Christoph Eucken	https://en.wikipedia.org/wiki/Rudolf_Christoph_Eucken	1846	0
Svetozar Markovi%C4%87	https://en.wikipedia.org/wiki/Svetozar_Markovi%C4%87	1846	1
F. H. Bradley	https://en.wikipedia.org/wiki/F._H._Bradley	1846	0
Georges Sorel	https://en.wikipedia.org/wiki/Georges_Sorel	1847	1
Gottlob Frege	https://en.wikipedia.org/wiki/Gottlob_Frege	1848	5
Carl Stumpf	https://en.wikipedia.org/wiki/Carl_Stumpf	1848	1
Wilhelm Windelband	https://en.wikipedia.org/wiki/Wilhelm_Windelband	1848	0
Hans Vaihinger	https://en.wikipedia.org/wiki/Hans_Vaihinger	1852	1
Alexius Meinong	https://en.wikipedia.org/wiki/Alexius_Meinong	1853	5
Vladimir Solovyov (philosopher)	https://en.wikipedia.org/wiki/Vladimir_Solovyov_(philosopher)	1853	2
Karl Kautsky	https://en.wikipedia.org/wiki/Karl_Kautsky	1854	1
Hidden@39565388	https://en.wikipedia.org/wiki/Hidden@39565388	1854	1
Josiah Royce	https://en.wikipedia.org/wiki/Josiah_Royce	1855	4
Ferdinand de Saussure	https://en.wikipedia.org/wiki/Ferdinand_de_Saussure	1857	14
Shibli Nomani	https://en.wikipedia.org/wiki/Shibli_Nomani	1857	2
Georg Simmel	https://en.wikipedia.org/wiki/Georg_Simmel	1858	0
Henri Bergson	https://en.wikipedia.org/wiki/Henri_Bergson	1859	1
Edmund Husserl	https://en.wikipedia.org/wiki/Edmund_Husserl	1859	20
